omega_c	mmH1	mmH2	mmH3	mmA0	mmHch	lam1	lam7	m11	aDM	WH1	WH2
5.7196898771951577E-05	1.2509000000000000E+02	1.3673146147744799E+02	4.6467614356180474E+02	4.7103561246350205E+02	6.6292426912715860E+02	3.3127726670414086E+00	6.4132368439404459E+00	8.4279200635514783E+01	-1.2289704939777346E+00	7.7236032615706786E-04	4.8497696888658032E-03
6.3190220796446010E-05	1.2509000000000000E+02	1.7229574756954133E+02	5.1786167326749376E+02	5.2685321549272771E+02	5.6589308521519092E+02	2.8795053537839586E+00	1.0351501202700426E+01	2.0904675530225351E+01	-3.7417476173496000E-01	4.5376750555706545E-03	5.8896593817429461E-02
4.2462490656931860E-05	1.2509000000000000E+02	1.5035872757601959E+02	3.4544393927578068E+02	3.5284169396052215E+02	1.1827072132996784E+03	1.1499543538410004E+01	5.4841066227220496E+00	3.6042510058284975E+01	-1.4392404172790971E+00	2.9719339623618580E-04	5.9100956610919604E-03
9.6332957619725770E-05	1.2509000000000000E+02	1.3099177574469792E+02	2.9444993862158151E+02	2.9900960428128468E+02	6.2168581428550453E+02	5.2183263823009680E+00	1.2867421669684081E+01	5.9120850128177949E+01	-6.4504242748946028E-01	3.3997208352662097E-03	1.8912403240733814E-03
8.4031817267147860E-05	1.2509000000000000E+02	1.4372549804251432E+02	2.4543985230635846E+02	2.5362684897316009E+02	7.8741420322908755E+02	9.4534123242615777E+00	9.2208834159750879E+00	3.7398667114041125E+01	-6.3079415032774788E-01	3.4677947570021027E-03	1.9987243616962033E-03
8.8318384785234414E-05	1.2509000000000000E+02	1.3365689881000989E+02	2.8682680387833477E+02	2.9348264454560484E+02	6.1971346948748158E+02	1.4035473707474521E+01	1.2204831508409619E+01	4.6362516606861035E+01	-6.0912994789381358E-01	3.5700993269990162E-03	1.7479598823262146E-03
3.1834119466885427E-05	1.2509000000000000E+02	1.3473509326016767E+02	2.2406057108848381E+02	2.2837115165701655E+02	2.3050004825019278E+02	8.1917155063206852E+00	1.1040764204105718E+01	6.0650821126834877E+01	-7.8419567070252660E-01	2.7140265410600883E-03	2.6850741115357762E-03
4.9478176642850011E-04	1.2509000000000000E+02	1.2774470999416650E+02	9.7227299095702961E+01	9.7823405204258577E+01	4.7404734684342856E+02	1.3602068544506126E+01	9.0714675699227794E+00	2.7112913083803334E+00	-4.7749821679684845E-01	4.1501758400029837E-03	1.0772528112275317E-03
2.1404481578709121E-05	1.2509000000000000E+02	1.5341323577176931E+02	7.7348775282664587E+02	7.7377291583166129E+02	1.2791578779132842E+03	9.4590854347492961E+00	6.8499805385013950E+00	7.2621224700762532E+00	-5.3620353427343748E-01	3.9014984168719582E-03	1.6016608606330908E-03
4.6719181634039472E-05	1.2509000000000000E+02	1.5886710507892869E+02	4.9431135339863198E+02	5.0299698282172767E+02	7.2248095552086875E+02	3.9522741393429572E+00	6.6109961435715654E+00	9.5953697405268301E+01	-2.1769985528274072E-01	4.9718320915829095E-03	2.9653415667418783E-04
