Omega	Omega_err	MA1	svev	alpha
0.000283225	8.87366e-07	674.006	188.113	-0.89478
2.18108	0.0163535	902.045	877.577	0.0978281
0.00127888	4.49381e-06	938.325	298.271	0.254654
1.87029	0.0139759	851.548	692.868	0.170247
0.00100221	3.67923e-06	613.53	60.5221	-0.877311
0.00151617	5.70398e-06	560.965	360.815	0.90849
4.47161e-05	1.21955e-07	231.558	27.0249	0.157963
0.00473619	1.46951e-05	234.846	206.063	-0.0336056
0.126605	0.00687205	52.9847	704.781	1.25263
0.010308	4.46734e-05	812.298	430.434	1.41382
0.0926845	0.000557675	521.179	531.561	1.04937
0.00383464	1.58743e-05	426.427	388.828	-0.269734
0.00142645	5.15066e-06	538.794	635.249	-1.43132
0.000456057	1.40686e-06	479.66	833.745	-1.22257
0.00114369	3.8797e-06	799.291	661.463	0.562757
0.000595689	2.66049e-06	283.066	169.266	-1.45164
0.0209433	0.000104952	459.373	936.717	-0.746825
0.000316591	1.34813e-06	134.555	213.099	-0.622486
0.000306194	9.47532e-07	920.351	136.745	0.36908
8.04444e-07	1.50591e-09	924.705	32.5911	-0.360314
0.115299	0.000692651	645.41	430.276	0.0471212
0.000125472	1.81078e-07	160.622	626.217	-1.13422
0.0476441	0.000333032	188.024	818.279	1.43086
0.00619072	2.42398e-05	823.506	993.394	-0.275449
0.000210791	9.24713e-07	316.904	674.926	-0.583362
0.00178638	6.54464e-06	617.284	616.551	-0.343974
6.54836e-07	1.21823e-09	298.531	8.9834	0.305904
0.0381343	0.000198588	685.509	982.698	-0.791555
0.0453381	0.000240021	658.103	763.276	-0.415672
0.0258047	0.000127202	658.264	507.147	0.938026
0.000107942	4.56955e-07	330.154	754.287	1.03424
7.63208e-05	2.06629e-07	659.723	242.289	-1.03442
5.0622	0.0430867	772.738	485.558	1.48921
0.0242195	0.000117438	817.932	365.175	-0.209362
5.93805e-05	1.70426e-07	420.931	31.6996	-1.16427
0.27548	0.00186377	433.218	378.066	-1.19925
0.00016042	4.81597e-07	526.428	486.468	-1.25203
7.44407e-05	1.45802e-07	335.623	900.15	-0.926102
4.90778e-06	1.11316e-08	411.368	35.3864	0.404136
0.0214517	9.89337e-05	222.873	799.574	-1.32264
0.000332981	1.10464e-06	397.063	53.9671	1.55548
0.00627275	2.61194e-05	761.082	429.053	-0.820321
9.7189e-05	2.53313e-07	475.361	368.918	-0.935453
0.00111578	3.84452e-06	847.591	321.182	1.25167
0.00622242	2.45837e-05	769.157	999.887	-0.265226
0.00270192	1.05562e-05	548.625	621.167	-1.20505
0.154426	0.000865855	888.044	745.318	1.43115
0.000232496	7.28769e-07	795.967	35.5032	-1.18362
6.21759e-05	1.69543e-07	504.606	119.246	-0.896992
0.0050057	0.000127041	55.4518	453.909	-0.643372
0.00832064	3.41396e-05	560.641	497.947	-0.0669773
0.0214188	0.000110221	611.962	377.723	-0.1458
0.00196586	6.07291e-06	299.232	869.297	-0.240438
0.000790596	2.22977e-06	180.647	540.349	1.03972
0.00966579	4.31868e-05	796.449	786.714	-1.33102
0.00489301	1.9875e-05	867.737	200.365	0.497125
0.337995	0.00213764	828.297	872.846	-0.271076
0.0255373	0.000129362	182.957	709.213	1.165
0.0742542	0.00102185	71.8819	350.164	0.675782
0.0112194	5.69732e-05	143.241	169.53	0.467205
8.13899e-06	1.86714e-08	525.037	73.11	-0.375338
5.373e-05	1.34466e-07	857.32	212.268	0.54344
0.00076283	2.44266e-06	787.117	749.556	0.711285
0.00402239	1.61611e-05	290.12	385.264	0.715072
3.08847e-05	7.51185e-08	575.103	142.187	-1.15744
2.60395e-06	6.52484e-09	100.956	3.40468	0.726266
0.0111162	6.88433e-05	120.68	446.84	-1.31655
0.00113965	3.91446e-06	637.564	729.917	-0.998602
7.86672e-05	1.8859e-07	422.509	563.099	-1.00321
0.00860835	3.75083e-05	744.909	853.796	-0.594009
3.37588e-06	7.7612e-09	546.643	38.2928	0.286322
0.00264063	1.02344e-05	661.412	319.435	1.00099
0.000445357	2.09822e-06	329.299	950.25	-0.745202
0.00437681	1.65628e-05	324.075	993.979	-0.417989
1.92213e-05	4.31028e-07	99.7183	448.432	-0.367375
2.79314	0.0212603	931.42	565.631	0.653738
0.0117447	5.09996e-05	861.798	888.87	-0.335351
9.83435e-06	1.35829e-08	360.828	704.471	0.547011
0.0003952	1.86234e-06	197.136	265.993	1.24781
0.0225817	0.00017545	89.6842	716.1	1.07704
0.00702581	3.19835e-05	606.761	106.52	-0.457334
