Omega	Omega_uncer	mH1	mH2	mHc
0.000103031	8.01917e-06	342.441	588.174	618.441
0.000463526	7.27973e-05	633.932	816.378	764.569
0.00378379	0.000523049	836.14	893.777	878.873
0.00680628	0.000667343	715.788	787.123	809.197
0.000799415	0.00010005	368.488	655.049	635.662
7.71518e-05	6.81805e-05	731.286	873.209	909.097
0.00231181	0.000262436	766.167	768.654	845.281
0.000606095	3.94807e-05	279.482	644.823	531.043
0.000116544	1.44828e-05	430.581	737.417	599.106
0.0109101	0.00120555	679.82	709.666	724.013
0.00010447	5.21057e-05	540.942	626.451	628.877
0.000239011	1.79717e-05	188.551	455.889	280.448
0.000183004	5.9191e-05	713.414	874.01	798.151
0.00109048	0.000191569	663.193	663.545	721.178
0.00093243	0.000210311	636.754	644.806	672.806
0.000233767	5.18877e-05	674.018	909.198	839.068
0.000400694	9.34147e-05	691.573	887.95	897.92
0.00140397	0.000230031	597.466	694.607	642.967
0.00221315	0.000371012	872.64	910.002	909.269
0.000528086	0.000110145	705.325	784.693	818.641
0.000356757	3.28249e-05	341.737	616.173	351.84
9.06356e-05	4.04933e-06	185.461	443.04	504.01
8.60516e-05	4.09318e-05	584.081	714.615	680.522
0.000224868	4.17333e-05	438.619	566.632	487.459
0.000297951	3.20588e-05	259.294	408.808	290.894
0.000716425	7.33021e-05	514.072	757.106	684.483
0.00185362	0.000239546	619.485	917.702	817.529
0.000424764	3.62482e-05	280.828	315.98	408.533
8.49638e-05	3.11276e-05	593.404	696.765	710.805
0.000325877	3.95885e-05	456.415	700.407	750.303
0.0583558	0.00517128	722.852	727.196	736.428
0.000920418	0.000203228	540.148	571.187	566.66
0.00351914	0.000263698	768.012	775.097	846.968
0.000101844	1.17393e-05	424.183	655.45	699.222
0.00030426	5.57533e-05	557.583	629.211	667.331
0.000297163	5.24557e-05	612.351	909.284	960.109
0.00211684	5.65125e-05	91.192	430.481	562.083
0.00106778	7.04093e-05	407.573	702.739	682.853
0.0218169	0.00082959	427.18	570.477	580.55
0.000611877	5.11695e-05	175.626	225.94	232.843
8.85668e-05	1.49461e-05	441.461	600.826	521.435
0.00124946	0.000210712	712.77	818.831	841.534
0.00272224	0.000243853	495.739	497.747	576.949
0.000446744	0.000178927	948.986	970.155	984.834
0.000271514	2.77262e-05	448.161	532.142	540.664
2.88972e-05	1.98266e-05	188.898	336.488	294.014
0.00113543	0.000135602	388.852	474.514	435.735
0.000295311	9.01442e-05	773.201	863.161	813.669
0.000316684	2.56586e-05	333.797	567.042	591.856
0.010846	0.00032501	428.147	957.893	904.143
