Omega	mmH1	mmH2	mmH3	mmA0	mmHch	aDM	lam2	lam8	m22	vs	WH1	WH2
8.00539e-05	125.09	986.403	858.433	638.166	849.602	0.0211239	2.36933	0.369167	369.418	1041.52	0.00520263	0.295161
2.17632e-05	125.09	938.76	518.829	472.408	513.516	-0.178853	7.86503	-1.46626	591.996	494.87	0.00504682	18.6647
0.00094494	125.09	904.821	910.979	896.794	941.058	-0.0721222	4.04077	3.79565	74.551	619.366	0.00517893	2.70547
0.0013216	125.09	134.884	670.367	603.882	664.983	0.116973	4.76185	7.9115	491.283	188.634	0.00513684	7.34021e-05
0.000464404	125.09	300.851	668.657	698.193	761.033	0.131996	6.75939	6.55245	654.477	98.4255	0.00511836	0.180856
0.000431913	125.09	595.281	730.361	619.041	742.94	0.0746765	6.20845	4.00586	578.076	188.286	0.00517706	0.785766
0.00140823	125.09	560.696	332.575	286.888	383.648	0.0380624	7.40396	1.79296	248.465	187.403	0.00519762	0.174058
0.000238646	125.09	564.808	560.281	450.161	579.516	0.141024	5.76953	1.54684	149.981	442.81	0.0051062	2.37614
0.000635583	125.09	525.556	803.902	865.172	877.658	-0.0222625	6.06628	0.715145	445.943	1083.4	0.00520238	0.0499211
4.13879e-05	125.09	967.864	520.166	669.562	686.16	-0.25294	5.83497	2.5363	177.355	428.579	0.00489213	40.8232
0.000677269	125.09	227.676	507.418	657.532	508.848	-0.176906	7.60822	2.59704	246.028	344.682	0.0050502	0.0830916
0.00191959	125.09	753.844	267.072	253.037	323.31	0.21578	0.684931	-0.0659876	290.35	777.193	0.00497594	13.348
0.000194926	125.09	907.228	404.31	704.769	722.237	-0.247195	3.0637	0.454417	388.063	488.754	0.00490589	32.0999
0.00421149	125.09	323.454	887.373	833.015	852.825	-0.0758187	1.5232	3.98341	460.376	492.942	0.0051762	0.10065
0.000179207	125.09	875.927	673.856	274.339	688.924	0.148161	1.98357	-0.347514	460.5	833.771	0.00509604	10.525
