Omega	mmH3
3.41586e-05	615.483
3.93582e-05	646.711
1.64272e-05	925.89
2.39181e-06	153.469
5.72334e-05	424.325
5.72753e-05	429.211
6.45071e-05	344.077
2.25086e-05	801.033
3.9091e-05	396.634
6.53186e-06	66.978
2.64775e-05	745.207
7.50844e-05	253.091
9.42016e-05	394.797
1.53815e-05	677.196
8.21612e-06	197.99
1.90461e-05	609.868
4.32163e-05	546.708
1.32628e-05	837.291
4.97892e-05	395.2
4.76587e-05	385.227
2.36538e-05	831.205
7.44026e-05	265.138
0.000579262	101.994
6.5375e-05	659.99
4.1359e-05	485.337
6.63291e-06	200.113
2.90271e-05	596.76
7.22471e-05	619.786
2.22966e-05	597.558
0.00048517	175.691
0.000666621	94.385
1.96503e-05	863.65
2.31054e-05	877.013
2.43604e-05	932.197
0.000137334	207.833
1.44724e-05	743.873
7.88518e-06	137.704
0.000258495	127.375
3.96857e-05	382.244
2.42309e-05	509.104
0.000113947	193.126
3.32726e-05	675.388
6.04627e-05	512.963
1.97402e-05	788.929
2.08281e-05	594.944
0.000399112	119.439
3.80227e-05	496.819
3.87941e-05	722.256
7.31268e-05	263.535
4.82669e-05	634.902
2.88115e-05	652.101
1.53517e-05	915.678
1.62327e-05	817.385
1.01242e-05	918.792
1.78276e-05	930.418
4.8965e-05	438.121
2.10118e-05	801.696
5.62472e-05	358.435
0.000140567	221.656
1.38212e-05	832.033
1.93887e-05	822.304
2.45859e-05	612.738
0.0013652	101.725
3.57875e-05	239.109
5.58312e-05	530.756
2.26749e-05	616.074
2.90037e-05	925.042
1.37842e-05	799.008
4.01388e-05	771.256
0.00725685	71.4792
2.67638e-05	557.162
0.000354501	198.726
0.000322233	101.277
3.20965e-05	826.922
3.06154e-05	480.529
1.05365e-05	210.025
3.28727e-05	431.408
7.09827e-05	515.486
