Omega	mH1	mH2	mHc
0.000312711	671.279	714.42	707.733
0.000422874	631.056	866.596	880.535
0.000831537	171.837	334.379	384.477
0.016686	603.716	614.103	610.321
0.000199506	424.201	599.33	629.435
0.000832357	270.051	836.924	863.558
0.000152957	747.438	922.506	844.849
3.0235e-05	248.739	689.391	636.376
0.000392374	250.22	471.801	474.582
0.000662441	171.819	334.871	298.735
0.00040775	706.329	794.873	769.578
0.00981406	495.999	673.282	704.126
0.00151392	911.895	911.963	983.124
0.000123659	414.154	741.485	737.752
0.019432	130.764	581.061	595.48
0.00119952	628.396	797.651	767.416
0.00227201	627.526	755.176	731.678
0.00253567	687.233	781.09	826.336
0.00349964	438.507	609.697	642.255
0.00296433	460.845	529.511	516.754
0.000489983	840.709	893.035	934.023
0.0090656	475.621	483.728	510.744
0.000565036	346.146	813.125	720.825
0.00186866	723.103	737.74	811.328
0.00101173	630.036	640.435	632.286
0.000283831	489.9	662.782	629.19
0.00180116	360.858	786.311	763.593
8.33308e-05	240.463	568.208	579.326
0.000123298	653.511	682.479	801.744
0.000514934	534.19	648.084	564.019
0.00114224	408.88	426.05	467.449
0.000190114	714.384	732.691	810.723
0.000791092	761.205	797.382	831.03
0.00012445	412.505	630.247	451.083
0.00367318	677.092	755.183	722.651
0.00462167	874.306	874.815	939.816
0.00137399	618.501	648.04	695.563
0.000198891	314.485	492.519	359.176
0.000542926	681.67	698.642	726.508
0.000328905	320.53	455.948	414.425
0.0211813	597.152	610.458	680.552
0.000160848	257.882	616.036	615.082
0.000367257	791.683	949.317	977.05
0.00196145	350.815	459.839	508.402
0.00273518	686.609	817.498	772.343
0.007691	826.607	862.817	860.562
0.000492206	425.652	859.761	881.492
0.000113307	530.703	721.099	843.732
0.000175073	726.136	753.176	821.745
0.000761656	522.652	607	726.171
0.000616885	487.8	490.343	521.783
0.000122467	511.049	880.916	808.02
0.000160718	419.847	491.338	523.839
0.000320147	512.441	588.383	667.938
0.00120741	318.697	465.727	396.007
0.000302774	488.713	705.071	713.073
0.0002868	513.479	578.452	613.862
0.00107134	574.851	736.338	729.871
0.000236147	551.781	610.988	618.496
0.000124056	363.681	426.175	490.412
0.000319019	490.721	641.534	615.994
0.000629495	667.043	789.527	709.428
0.000460192	715.276	888.58	739.41
0.000986325	445.69	479.547	524.595
0.00145245	656.084	857.426	801.316
0.00037743	481.77	737.516	605.369
9.05241e-05	274.325	576.747	484.181
0.000159698	494.201	660.181	699.673
0.000451816	678.009	712.43	750.967
0.000920424	546.052	601.015	585.981
0.00101157	560.876	611.069	575.138
0.00108902	446.554	547.27	535.031
0.000288099	363.486	420.272	455.236
6.95304e-05	802.023	840.889	890.764
0.000158929	498.295	590.255	661.978
0.0212585	824.494	877.349	865.937
0.00223874	582.098	582.486	630.448
0.00182212	892.508	902.257	955.919
0.000158176	329.658	803.91	743.524
0.00018286	584.528	762.05	798.651
0.000348412	608.344	692.424	808.818
0.00438557	784.715	864.746	822.33
0.0105417	219.909	224.991	239.699
0.000331339	348.072	845.96	832.58
0.000383634	186.132	632.352	481.973
0.000917265	539.557	693.283	688.138
0.003882	723.157	785.252	751.476
0.0013032	432.415	909.781	861.053
0.000681801	634.868	645.051	687.567
0.000979356	719.744	726.557	799.707
