Omega	mMChi	mMPsi	lam12	lam13	lam123
0.120518	100	120	0.0072003	1.54063	1.19067
0.120369	100	120	0.0072003	1.38657	1.19755
0.120269	100	120	0.0072003	1.24791	1.2027
0.12019	100	120	0.0072003	1.12312	1.2064
0.120134	100	120	0.0072003	1.01081	1.20905
0.120097	100	120	0.0072003	0.909729	1.21101
0.120072	100	120	0.0072003	0.818756	1.21247
0.120054	100	120	0.0072003	0.73688	1.21359
0.120041	100	120	0.0072003	0.663192	1.21444
0.12003	100	120	0.0072003	0.596873	1.2151
0.120023	100	120	0.0072003	0.537186	1.2156
0.120018	100	120	0.0072003	0.483467	1.21601
0.120013	100	120	0.0072003	0.43512	1.21632
0.120011	100	120	0.0072003	0.391608	1.21659
0.120007	100	120	0.0072003	0.352448	1.21679
0.120004	100	120	0.0072003	0.317203	1.21692
0.120003	100	120	0.0072003	0.285483	1.21702
0.120001	100	120	0.0072003	0.256934	1.2171
0.12	100	120	0.0072003	0.231241	1.21716
0.12	100	120	0.0072003	0.208117	1.2172
0.119999	100	120	0.0072003	0.187305	1.21723
0.119072	100	120	0.00648027	3.9883	0.677449
0.12065	100	120	0.00648027	3.58947	0.862719
0.120612	100	120	0.00648027	3.23053	0.981767
0.120893	100	120	0.00648027	2.90747	1.05455
0.120422	100	120	0.00648027	2.61673	1.10746
0.120592	100	120	0.00648027	2.35505	1.13938
0.120446	100	120	0.00648027	2.11955	1.16306
0.120728	100	120	0.00648027	1.90759	1.17521
0.120674	100	120	0.00648027	1.71683	1.18716
0.120505	100	120	0.00648027	1.54515	1.19652
0.120359	100	120	0.00648027	1.39064	1.20341
0.120262	100	120	0.00648027	1.25157	1.20856
0.120185	100	120	0.00648027	1.12642	1.21226
0.12013	100	120	0.00648027	1.01377	1.21491
0.120094	100	120	0.00648027	0.912396	1.21686
0.12007	100	120	0.00648027	0.821157	1.21832
0.120052	100	120	0.00648027	0.739041	1.21944
0.120039	100	120	0.00648027	0.665137	1.2203
0.120029	100	120	0.00648027	0.598623	1.22095
0.120022	100	120	0.00648027	0.538761	1.22146
0.120017	100	120	0.00648027	0.484885	1.22186
0.120012	100	120	0.00648027	0.436396	1.22217
0.120011	100	120	0.00648027	0.392757	1.22244
0.120007	100	120	0.00648027	0.353481	1.22264
0.120004	100	120	0.00648027	0.318133	1.22277
0.120002	100	120	0.00648027	0.28632	1.22287
0.120001	100	120	0.00648027	0.257688	1.22295
0.12	100	120	0.00648027	0.231919	1.223
0.12	100	120	0.00648027	0.208727	1.22305
0.119999	100	120	0.00648027	0.187854	1.22308
0.119087	100	120	0.00583224	3.99768	0.679969
0.120635	100	120	0.00583224	3.59791	0.866334
0.120596	100	120	0.00583224	3.23812	0.985788
0.120873	100	120	0.00583224	2.91431	1.05886
0.12041	100	120	0.00583224	2.62288	1.11188
0.120573	100	120	0.00583224	2.36059	1.14397
0.120436	100	120	0.00583224	2.12453	1.16767
0.120957	100	120	0.00583224	1.91208	1.17987
0.120663	100	120	0.00583224	1.72087	1.19187
0.120495	100	120	0.00583224	1.54878	1.20125
0.120352	100	120	0.00583224	1.39391	1.20814
0.120256	100	120	0.00583224	1.25452	1.21328
0.12018	100	120	0.00583224	1.12906	1.21699
0.120127	100	120	0.00583224	1.01616	1.21963
0.120092	100	120	0.00583224	0.914542	1.22159
0.120068	100	120	0.00583224	0.823087	1.22305
0.120051	100	120	0.00583224	0.740779	1.22416
0.120039	100	120	0.00583224	0.666701	1.22502
0.120029	100	120	0.00583224	0.600031	1.22568
0.120022	100	120	0.00583224	0.540028	1.22618
0.120017	100	120	0.00583224	0.486025	1.22659
0.120013	100	120	0.00583224	0.437422	1.22692
0.120009	100	120	0.00583224	0.39368	1.22717
